"Dates","Types","Locals","Closings","BuildPings","Prices","LocalPings","Floors","Olds","ParkingSpaces"
"104","10812","華廈","香草山莊內湖區金湖路347巷121弄11~20號格局：4房(室)2廳2衛","5,650萬(含車位)","82.84坪(含車位坪數)","68.2萬","34.25坪","1~1/5","13.0年","有"
"105","10812","電梯大樓","大湖公園家內湖區星雲街168巷21~30號格局：3房(室)2廳1衛","2,506萬(含車位)","49.36坪(含車位坪數)","50.8萬","8.80坪","13~13/13","24.0年","有"
"106","10812","電梯大樓","何必館內湖區內湖路二段421~430號格局：2房(室)2廳1衛","2,050萬","27.62坪","74.2萬","2.84坪","5~5/15","1.0年","無"
"107","10812","電梯大樓","台北藍帶內湖區港墘路26巷1~10號格局：3房(室)2廳2衛","2,637萬","35.21坪","74.9萬","8.80坪","9~9/14","24.0年","無"
"108","10812","華廈","極峰內湖區文湖街21巷118弄21~30號格局：2房(室)2廳1衛","1,295萬","23.72坪","54.6萬","5.28坪","5~5/7","7.0年","無"
"109","10812","電梯大樓","大湖生活家內湖區安泰街83巷1~10號格局：3房(室)2廳1衛","1,210萬(含車位120萬)","30.92坪(含車位5.04坪)","42.1萬","6.52坪","8~8/12","24.0年","有"
"110","10812","電梯大樓","文心漂亮花園內湖區五分街72巷1~10號格局：3房(室)2廳2衛","2,168萬(含車位250萬)","42.14坪(含車位10.20坪)","60.1萬","7.27坪","12~12/12","12.0年","有"
"111","10812","電梯大樓","湖山妍內湖區內湖路三段231~240號格局：3房(室)2廳2衛","3,765萬(含車位500萬)","82.77坪(含車位22.57坪)","54.2萬","13.16坪","11~11/14","6.0年","有"
"112","10812","電梯大樓","華固碧連天內湖區文德路71~80號格局：3房(室)2廳2衛","4,156萬(含車位250萬)","66.52坪(含車位10.72坪)","70.0萬","8.15坪","3~3/14","11.0年","有"
"113","10812","公寓","內湖區內湖路一段387巷2弄11~20號格局：3房(室)2廳2衛","1,336萬","26.78坪","49.9萬","8.12坪","3~3/5","38.0年","無"
"114","10812","公寓","內湖區內湖路二段179巷31~40號格局：3房(室)2廳1.5衛(加蓋格局：0房(室)1廳1衛)","1,200萬","32.10坪","37.4萬","8.86坪","5~5/5","38.0年","無"
"115","10812","電梯大樓","安縵莊園內湖區內湖路三段60巷31~40號格局：3房(室)2廳2衛","5,100萬(含車位250萬)","76.69坪(含車位7.93坪)","70.5萬","10.52坪","10~10/19","2.0年","有"
"116","10812","公寓","內湖區安泰街45巷14弄31~40號格局：3房(室)2廳1.5衛","770萬","29.71坪","25.9萬","8.84坪","3~3/5","35.0年","無"
"117","10812","電梯大樓","風和日麗內湖區成功路五段420巷1~10號格局：3房(室)2廳1衛","2,090萬(含車位250萬)","39.64坪(含車位11.49坪)","65.4萬","6.43坪","2~2/14","21.0年","有"
"118","10812","華廈","碧湖典藏家內湖區內湖路二段179巷251~260號格局：2房(室)2廳1衛(加蓋格局：1房(室)0廳0衛)","1,760萬(含車位)","42.67坪(含車位坪數)","41.2萬","10.88坪","3~3/5","23.0年","有"
"119","10812","電梯大樓","閱讀歐洲內湖區成功路五段451~460號格局：4房(室)2廳2衛","4,850萬(含車位500萬)","75.10坪(含車位21.05坪)","80.5萬","12.95坪","8~8/13","18.0年","有"
"120","10812","公寓","內湖區麗山街348巷11~20號格局：3房(室)2廳2衛","1,580萬","38.29坪","41.3萬","9.70坪","4~4/5","38.0年","無"
"121","10812","公寓","內湖區內湖路一段387巷2弄11~20號格局：3房(室)2廳2衛(加蓋格局：1房(室)1廳0衛)","1,720萬","26.58坪","64.7萬","7.34坪","1~1/5","37.0年","無"
"122","10812","公寓","內湖區康寧路一段156巷10弄1~10號格局：3房(室)2廳1衛","1,220萬","28.57坪","42.7萬","10.29坪","3~3/4","42.0年","無"
"123","10812","廠辦","亞太企業家內湖區瑞光路66巷21~30號","2,785萬","75.57坪","36.9萬","20.55坪","4~4/6","21.0年","無"
"124","10812","電梯大樓","領世堡內湖區康寧路三段31~40號格局：2房(室)2廳2衛","2,900萬(含車位250萬)","47.70坪(含車位11.94坪)","74.1萬","9.05坪","11~11/15","12.0年","有"
"125","10812","華廈","合砌內湖區金湖路358巷1~10號格局：3房(室)2廳2衛","4,490萬(含車位250萬)","64.50坪(含車位5.60坪)","72.0萬","11.53坪","4~4/8","9.0年","有"
"126","10812","電梯大樓","榮耀世紀內湖區星雲街121~130號格局：2房(室)2廳1衛","2,688萬(含車位250萬)","34.77坪(含車位7.90坪)","90.7萬","4.02坪","5~5/14","14.0年","有"
"127","10812","電梯大樓","崇偉S計畫南京VI內湖區新明路401~410號格局：3房(室)2廳2衛","2,630萬(含車位250萬)","48.61坪(含車位9.36坪)","60.6萬","6.38坪","11~11/11","9.0年","有"
"128","10812","套房","高更內湖區大湖街131巷1~10號格局：1房(室)1廳1衛","1,000萬","14.00坪","71.4萬","2.96坪","10~10/11","12.0年","無"
"129","10812","華廈","香草山莊內湖區金湖路347巷121弄11~20號格局：4房(室)2廳2衛","5,650萬(含車位)","82.84坪(含車位坪數)","68.2萬","34.25坪","1~1/5","13.0年","有"
"130","10812","電梯大樓","大湖公園家內湖區星雲街168巷21~30號格局：3房(室)2廳1衛","2,506萬(含車位)","49.36坪(含車位坪數)","50.8萬","8.80坪","13~13/13","24.0年","有"
"131","10812","電梯大樓","何必館內湖區內湖路二段421~430號格局：2房(室)2廳1衛","2,050萬","27.62坪","74.2萬","2.84坪","5~5/15","1.0年","無"
"132","10812","電梯大樓","台北藍帶內湖區港墘路26巷1~10號格局：3房(室)2廳2衛","2,637萬","35.21坪","74.9萬","8.80坪","9~9/14","24.0年","無"
"133","10812","華廈","極峰內湖區文湖街21巷118弄21~30號格局：2房(室)2廳1衛","1,295萬","23.72坪","54.6萬","5.28坪","5~5/7","7.0年","無"
"134","10812","電梯大樓","大湖生活家內湖區安泰街83巷1~10號格局：3房(室)2廳1衛","1,210萬(含車位120萬)","30.92坪(含車位5.04坪)","42.1萬","6.52坪","8~8/12","24.0年","有"
"135","10812","電梯大樓","文心漂亮花園內湖區五分街72巷1~10號格局：3房(室)2廳2衛","2,168萬(含車位250萬)","42.14坪(含車位10.20坪)","60.1萬","7.27坪","12~12/12","12.0年","有"
